"Patient_Seen_End_Date","GEOGRAPHY","CCG","AT_Code","Region_Code","Adult","Child","Total","AdultPopulation","ChildPopulation","TotalPopulation"
"31-Jul-15","NHS","00C","Q45","Y54",49986,17724,67710,82637,22759,105396
"31-Jul-15","NHS","00D","Q45","Y54",121953,37358,159311,217698,55205,272903
"31-Jul-15","NHS","00J","Q45","Y54",101567,30678,132245,198042,45012,243054
"31-Jul-15","NHS","00K","Q45","Y54",133074,46712,179786,223398,62463,285861
"31-Jul-15","NHS","00L","Q49","Y54",141064,41807,182871,255418,60388,315806
"31-Jul-15","NHS","00M","Q45","Y54",139727,46760,186487,214691,59193,273884
"31-Jul-15","NHS","00N","Q49","Y54",81024,22990,104014,119084,29442,148526
"31-Jul-15","NHS","00P","Q49","Y54",136990,43419,180409,221536,54544,276080
"31-Jul-15","NHS","00Q","Q47","Y54",58519,29773,88292,108833,38536,147369
"31-Jul-15","NHS","00R","Q47","Y54",63332,19190,82522,112370,29030,141400
"31-Jul-15","NHS","00T","Q46","Y54",108634,47224,155858,214210,65847,280057
"31-Jul-15","NHS","00V","Q46","Y54",76742,29884,106626,144168,42359,186527
"31-Jul-15","NHS","00W","Q46","Y54",73611,35695,109306,140813,41410,182223
"31-Jul-15","NHS","00X","Q47","Y54",73728,27700,101428,133938,35553,169491
"31-Jul-15","NHS","00Y","Q46","Y54",101015,42272,143287,170144,57168,227312
"31-Jul-15","NHS","01A","Q47","Y54",158763,62716,221479,288807,83535,372342
"31-Jul-15","NHS","01C","Q44","Y54",101837,33545,135382,156939,38558,195497
"31-Jul-15","NHS","01D","Q46","Y54",92188,37713,129901,161558,50562,212120
"31-Jul-15","NHS","01E","Q47","Y54",69661,27553,97214,159213,42463,201676
"31-Jul-15","NHS","01F","Q48","Y54",53034,17459,70493,97818,28152,125970
"31-Jul-15","NHS","01G","Q46","Y54",108631,42282,150913,186744,52269,239013
"31-Jul-15","NHS","01H","Q49","Y54",200879,67156,268035,409076,95062,504138
"31-Jul-15","NHS","01J","Q48","Y54",67949,23373,91322,113703,32383,146086
"31-Jul-15","NHS","01K","Q47","Y54",60958,20014,80972,129492,29964,159456
"31-Jul-15","NHS","01M","Q46","Y54",82375,29396,111771,132730,37922,170652
"31-Jul-15","NHS","01N","Q46","Y54",55539,21161,76700,128066,33476,161542
"31-Jul-15","NHS","01R","Q44","Y54",80479,27144,107623,140838,36372,177210
"31-Jul-15","NHS","01T","Q48","Y54",78688,22458,101146,126858,32014,158872
"31-Jul-15","NHS","01V","Q48","Y54",71704,19316,91020,92788,21547,114335
"31-Jul-15","NHS","01W","Q46","Y54",140320,45353,185673,224011,61021,285032
"31-Jul-15","NHS","01X","Q48","Y54",90862,28987,119849,139950,36271,176221
"31-Jul-15","NHS","01Y","Q46","Y54",113515,40565,154080,197934,55743,253677
"31-Jul-15","NHS","02A","Q46","Y54",97028,39760,136788,177254,52925,230179
"31-Jul-15","NHS","02D","Q44","Y54",42185,16346,58531,80153,21875,102028
"31-Jul-15","NHS","02E","Q44","Y54",92454,31140,123594,160810,44299,205109
"31-Jul-15","NHS","02F","Q44","Y54",126757,40066,166823,184750,44248,228998
"31-Jul-15","NHS","02G","Q47","Y54",44682,16469,61151,88957,22357,111314
"31-Jul-15","NHS","02H","Q46","Y54",151849,51060,202909,251917,67773,319690
"31-Jul-15","NHS","02M","Q47","Y54",83473,22330,105803,135694,30103,165797
"31-Jul-15","NHS","02N","Q52","Y54",65432,23355,88787,123814,34662,158476
"31-Jul-15","NHS","02P","Q51","Y54",120108,38386,158494,186297,49460,235757
"31-Jul-15","NHS","02Q","Q51","Y54",54109,16151,70260,90737,22917,113654
"31-Jul-15","NHS","02R","Q52","Y54",112890,48832,161722,247194,87432,334626
"31-Jul-15","NHS","02T","Q52","Y54",94345,34927,129272,160676,45679,206355
"31-Jul-15","NHS","02V","Q52","Y54",96593,33756,130349,157266,42678,199944
"31-Jul-15","NHS","02W","Q52","Y54",47017,27487,74504,57079,25660,82739
"31-Jul-15","NHS","02X","Q51","Y54",165940,51537,217477,238646,64976,303622
"31-Jul-15","NHS","02Y","Q50","Y54",116404,35959,152363,255311,59249,314560
"31-Jul-15","NHS","03A","Q52","Y54",103583,38520,142103,188691,51708,240399
"31-Jul-15","NHS","03C","Q52","Y54",126424,42486,168910,260312,60186,320498
"31-Jul-15","NHS","03D","Q50","Y54",62095,21191,83286,124990,28648,153638
"31-Jul-15","NHS","03E","Q50","Y54",58601,22023,80624,124886,33363,158249
"31-Jul-15","NHS","03F","Q50","Y54",159194,51293,210487,202325,55264,257589
"31-Jul-15","NHS","03G","Q52","Y54",105585,41376,146961,185330,55709,241039
"31-Jul-15","NHS","03H","Q50","Y54",75542,23892,99434,125404,34423,159827
"31-Jul-15","NHS","03J","Q52","Y54",83792,36150,119942,141619,46261,187880
"31-Jul-15","NHS","03K","Q50","Y54",61812,21510,83322,133409,35351,168760
"31-Jul-15","NHS","03L","Q51","Y54",123046,41109,164155,202588,56101,258689
"31-Jul-15","NHS","03M","Q50","Y54",43446,13974,57420,89607,20529,110136
"31-Jul-15","NHS","03N","Q51","Y54",264851,86771,351622,445431,114654,560085
"31-Jul-15","NHS","03Q","Q50","Y54",153353,46271,199624,283313,65753,349066
"31-Jul-15","NHS","03R","Q52","Y54",170245,52994,223239,260843,68865,329708
"31-Jul-15","NHS","03T","Q59","Y55",95650,25444,121094,187036,42388,229424
"31-Jul-15","NHS","03V","Q58","Y55",27034,9820,36854,49002,15210,64212
"31-Jul-15","NHS","03W","Q59","Y55",116907,43160,160067,255340,66582,321922
"31-Jul-15","NHS","03X","Q55","Y55",54492,14817,69309,75345,19585,94930
"31-Jul-15","NHS","03Y","Q55","Y55",40920,12274,53194,87499,21751,109250
"31-Jul-15","NHS","04C","Q59","Y55",141624,63407,205031,254324,79488,333812
"31-Jul-15","NHS","04D","Q59","Y55",95721,30379,126100,185088,44536,229624
"31-Jul-15","NHS","04E","Q55","Y55",89588,29786,119374,153265,40641,193906
"31-Jul-15","NHS","04F","Q58","Y55",84383,44685,129068,196095,65262,261357
"31-Jul-15","NHS","04G","Q58","Y55",256217,94959,351176,486324,140251,626575
"31-Jul-15","NHS","04H","Q55","Y55",43777,14915,58692,93050,23903,116953
"31-Jul-15","NHS","04J","Q55","Y55",123559,40769,164328,220313,51843,272156
"31-Jul-15","NHS","04K","Q55","Y55",144416,51543,195959,246983,63854,310837
"31-Jul-15","NHS","04L","Q55","Y55",79424,24826,104250,117304,30321,147625
"31-Jul-15","NHS","04M","Q55","Y55",42403,13308,55711,89783,21460,111243
"31-Jul-15","NHS","04N","Q55","Y55",37265,16107,53372,89437,23398,112835
"31-Jul-15","NHS","04Q","Q59","Y55",40173,15233,55406,97208,25634,122842
"31-Jul-15","NHS","04R","Q55","Y55",165655,63676,229331,405788,112379,518167
"31-Jul-15","NHS","04V","Q59","Y55",156674,53162,209836,301417,75842,377259
"31-Jul-15","NHS","04X","Q54","Y55",100345,37263,137608,151704,49451,201155
"31-Jul-15","NHS","04Y","Q60","Y55",51546,15759,67305,106089,27498,133587
"31-Jul-15","NHS","05A","Q53","Y55",178949,64044,242993,335514,95669,431183
"31-Jul-15","NHS","05C","Q54","Y55",128064,38163,166227,246783,67644,314427
"31-Jul-15","NHS","05D","Q60","Y55",55959,22874,78833,97566,27012,124578
"31-Jul-15","NHS","05F","Q53","Y55",75148,24043,99191,150027,36060,186087
"31-Jul-15","NHS","05G","Q60","Y55",86236,27638,113874,173683,40758,214441
"31-Jul-15","NHS","05H","Q53","Y55",86153,28297,114450,148583,39544,188127
"31-Jul-15","NHS","05J","Q53","Y55",71640,26118,97758,141371,37894,179265
"31-Jul-15","NHS","05L","Q54","Y55",208271,79321,287592,358104,122025,480129
"31-Jul-15","NHS","05N","Q60","Y55",120264,40996,161260,248550,60017,308567
"31-Jul-15","NHS","05P","Q54","Y55",73443,28042,101485,163587,45274,208861
"31-Jul-15","NHS","05Q","Q60","Y55",98895,32698,131593,179641,44842,224483
"31-Jul-15","NHS","05R","Q53","Y55",116930,37491,154421,209336,49893,259229
"31-Jul-15","NHS","05T","Q53","Y55",117682,39653,157335,236565,57917,294482
"31-Jul-15","NHS","05V","Q60","Y55",55868,18189,74057,122990,28715,151705
"31-Jul-15","NHS","05W","Q60","Y55",127255,45273,172528,201959,56481,258440
"31-Jul-15","NHS","05X","Q60","Y55",76381,29502,105883,129499,38953,168452
"31-Jul-15","NHS","05Y","Q54","Y55",100919,41901,142820,208276,63885,272161
"31-Jul-15","NHS","06A","Q54","Y55",98268,34319,132587,194708,56849,251557
"31-Jul-15","NHS","06D","Q53","Y55",33819,13684,47503,79270,19151,98421
"31-Jul-15","NHS","06F","Q58","Y55",172384,66910,239294,331145,94765,425910
"31-Jul-15","NHS","06H","Q56","Y55",311534,122396,433930,671453,183539,854992
"31-Jul-15","NHS","06K","Q58","Y55",244342,91136,335478,425601,120649,546250
"31-Jul-15","NHS","06L","Q56","Y55",164223,54346,218569,313699,82449,396148
"31-Jul-15","NHS","06M","Q56","Y55",128863,32204,161067,171450,42308,213758
"31-Jul-15","NHS","06N","Q58","Y55",219467,98195,317662,441948,133844,575792
"31-Jul-15","NHS","06P","Q58","Y55",78956,34249,113205,154310,53679,207989
"31-Jul-15","NHS","06Q","Q57","Y55",172886,54919,227805,301090,80440,381530
"31-Jul-15","NHS","06T","Q57","Y55",138000,44364,182364,253628,62719,316347
"31-Jul-15","NHS","06V","Q56","Y55",65802,16553,82355,138831,29632,168463
"31-Jul-15","NHS","06W","Q56","Y55",125832,33996,159828,159019,35953,194972
"31-Jul-15","NHS","06Y","Q56","Y55",105081,30043,135124,188892,48538,237430
"31-Jul-15","NHS","07G","Q57","Y55",49987,22669,72656,121434,39415,160849
"31-Jul-15","NHS","07H","Q57","Y55",90520,34094,124614,228188,65037,293225
"31-Jul-15","NHS","07J","Q56","Y55",57966,16294,74260,138857,32628,171485
"31-Jul-15","NHS","07K","Q56","Y55",103984,34697,138681,177643,46145,223788
"31-Jul-15","NHS","07L","Q71","Y56",75064,33912,108976,136747,57605,194352
"31-Jul-15","NHS","07M","Q71","Y56",102344,49457,151801,282465,86623,369088
"31-Jul-15","NHS","07N","Q71","Y56",75602,34520,110122,181780,54907,236687
"31-Jul-15","NHS","07P","Q71","Y56",119410,48248,167658,244716,72548,317264
"31-Jul-15","NHS","07Q","Q71","Y56",92422,49845,142267,247450,70449,317899
"31-Jul-15","NHS","07R","Q71","Y56",97843,29204,127047,187334,42385,229719
"31-Jul-15","NHS","07T","Q71","Y56",77841,26467,104308,205220,59807,265027
"31-Jul-15","NHS","07V","Q71","Y56",133261,56799,190060,281124,91628,372752
"31-Jul-15","NHS","07W","Q71","Y56",141088,58050,199138,262978,79516,342494
"31-Jul-15","NHS","07X","Q71","Y56",113415,50017,163432,239600,80924,320524
"31-Jul-15","NHS","07Y","Q71","Y56",106547,43814,150361,201963,60444,262407
"31-Jul-15","NHS","08A","Q71","Y56",107039,48236,155275,200318,63690,264008
"31-Jul-15","NHS","08C","Q71","Y56",76075,21847,97922,145357,33328,178685
"31-Jul-15","NHS","08D","Q71","Y56",113209,46737,159946,204425,58961,263386
"31-Jul-15","NHS","08E","Q71","Y56",78547,33399,111946,187629,55743,243372
"31-Jul-15","NHS","08F","Q71","Y56",94269,34642,128911,189960,52120,242080
"31-Jul-15","NHS","08G","Q71","Y56",87874,39233,127107,219259,67547,286806
"31-Jul-15","NHS","08H","Q71","Y56",80205,22329,102534,177322,38345,215667
"31-Jul-15","NHS","08J","Q71","Y56",61779,26860,88639,131100,35693,166793
"31-Jul-15","NHS","08K","Q71","Y56",138062,40927,178989,252274,61968,314242
"31-Jul-15","NHS","08L","Q71","Y56",121014,42096,163110,220491,65689,286180
"31-Jul-15","NHS","08M","Q71","Y56",93486,47986,141472,237000,81227,318227
"31-Jul-15","NHS","08N","Q71","Y56",113181,53245,166426,215220,73052,288272
"31-Jul-15","NHS","08P","Q71","Y56",47253,24491,71744,148509,42856,191365
"31-Jul-15","NHS","08Q","Q71","Y56",107973,36802,144775,237369,61095,298464
"31-Jul-15","NHS","08R","Q71","Y56",71350,23582,94932,158248,44975,203223
"31-Jul-15","NHS","08T","Q71","Y56",67163,30214,97377,151229,44685,195914
"31-Jul-15","NHS","08V","Q71","Y56",81775,30997,112772,212378,60512,272890
"31-Jul-15","NHS","08W","Q71","Y56",84021,35000,119021,202000,63797,265797
"31-Jul-15","NHS","08X","Q71","Y56",107337,38696,146033,252281,58235,310516
"31-Jul-15","NHS","08Y","Q71","Y56",82667,22055,104722,180239,39512,219751
"31-Jul-15","NHS","09A","Q71","Y56",59641,13425,73066,135765,26919,162684
"31-Jul-15","NHS","09C","Q67","Y57",44540,18681,63221,93288,28435,121723
"31-Jul-15","NHS","09D","Q68","Y57",106676,36709,143385,227451,50661,278112
"31-Jul-15","NHS","09E","Q67","Y57",71558,28780,100338,163771,38618,202389
"31-Jul-15","NHS","09F","Q68","Y57",69916,21842,91758,148747,34735,183482
"31-Jul-15","NHS","09G","Q68","Y57",175756,60439,236195,389667,90518,480185
"31-Jul-15","NHS","09H","Q68","Y57",50003,20297,70300,83450,25521,108971
"31-Jul-15","NHS","09J","Q67","Y57",78132,33291,111423,195263,56614,251877
"31-Jul-15","NHS","09L","Q68","Y57",63709,27572,91281,137822,40091,177913
"31-Jul-15","NHS","09N","Q68","Y57",62145,29743,91888,163414,44358,207772
"31-Jul-15","NHS","09P","Q68","Y57",80422,22097,102519,146503,35305,181808
